中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
紫薯、白薯/紅薯/地瓜,sweet patato,,,,,,,8/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,旋花科,Convolvulaceae,,,番薯屬,Ipomoea,甘薯,Ipomoea batatas,紫薯、白薯/紅薯/地瓜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 旋花科(Convolvulaceae) > 番薯屬(Ipomoea) > 甘薯(Ipomoea batatas)
辣椒,,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,辣椒屬,Capsicum,辣椒,Capsicum annum,辣椒：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 辣椒屬(Capsicum) > 辣椒(Capsicum annum)
青椒,,,,,,,,8/28/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,辣椒屬,Capsicum,辣椒,Capsicum annum,青椒：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 辣椒屬(Capsicum) > 辣椒(Capsicum annum)
枸杞,,,,,,,,9/9/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,枸杞屬,Lycium,枸杞,Lycium chinense,枸杞：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 枸杞屬(Lycium) > 枸杞(Lycium chinense)
黑枸杞,,,,,,,,1/18/19,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,枸杞屬,Lycium,黑果枸杞,Lycium ruthenicum,黑枸杞：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 枸杞屬(Lycium) > 黑果枸杞(Lycium ruthenicum)
假酸漿（冰粉）,,,,,,,,10/13/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,假酸漿屬,Nicandra,假酸漿,Nicandra physaloides,假酸漿（冰粉）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 假酸漿屬(Nicandra) > 假酸漿(Nicandra physaloides)
菇娘/燈籠果/酸漿,,,,,,,,9/16/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,酸漿屬,Physalis,燈籠果,Physalis alkekengi,菇娘/燈籠果/酸漿：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 酸漿屬(Physalis) > 燈籠果(Physalis alkekengi)
西紅枾/番茄,tomato,,,,,,,8/30/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,茄屬,Solanum,番茄,Solanum lycopersicum,西紅枾/番茄：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 茄屬(Solanum) > 番茄(Solanum lycopersicum)
茄子,eggplant,,,,,,,9/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,茄屬,Solanum,茄子,Solanum melongena,茄子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 茄屬(Solanum) > 茄子(Solanum melongena)
人蔘果/香瓜茄,,,,,,,,9/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,茄屬,Solanum,香瓜茄,Solanum muricatum,人蔘果/香瓜茄：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 茄屬(Solanum) > 香瓜茄(Solanum muricatum)
土豆/馬鈴薯,patato,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,茄屬,Solanum,馬鈴薯,Solanum tuberosum,土豆/馬鈴薯：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 茄科(Solanaceae) > 茄亞科(Solanoideae) > 茄屬(Solanum) > 馬鈴薯(Solanum tuberosum)
冰草,iceplant,,,,,,,12/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,番杏科,Aizoaceae,,,日中花屬,Mesembryanthemum,冰葉日中花,Mesembryanthemum crystallinum,冰草：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 番杏科(Aizoaceae) > 日中花屬(Mesembryanthemum) > 冰葉日中花(Mesembryanthemum crystallinum)
莧菜,,,,,,,,9/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,莧科,Amaranthaceae,,,莧屬,Amaranthus,莧,Amaranthus tricolor,莧菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 莧科(Amaranthaceae) > 莧屬(Amaranthus) > 莧(Amaranthus tricolor)
菠菜,spinach,,,,,,,10/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,莧科,Amaranthaceae,,,菠菜屬,Spinacia,菠菜,Spinacia oleracea,菠菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 莧科(Amaranthaceae) > 菠菜屬(Spinacia) > 菠菜(Spinacia oleracea)
落葵/木耳菜,,,,,,,,12/7/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,落葵科,Basellaceae,,,落葵屬,Basella,落葵,Basella alba,落葵/木耳菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 落葵科(Basellaceae) > 落葵屬(Basella) > 落葵(Basella alba)
量天尺（紅皮白肉火龍果）,,,,,,,,9/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,仙人掌科,Cactaceae,柱狀仙人掌亞科,Cactoideae,量天尺屬,Hylocereus,量天尺,Hylocereus undatus,量天尺（紅皮白肉火龍果）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 仙人掌科(Cactaceae) > 柱狀仙人掌亞科(Cactoideae) > 量天尺屬(Hylocereus) > 量天尺(Hylocereus undatus)
甜菜,beet,,,,,,,10/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,藜科,Chenopodiaceae,甜菜亞科,Betoideae,甜菜屬,Beta,甜菜,Beta vulgaris,甜菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 藜科(Chenopodiaceae) > 甜菜亞科(Betoideae) > 甜菜屬(Beta) > 甜菜(Beta vulgaris)
藜麥,quinoa,,,,,,,9/11/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,藜科,Chenopodiaceae,藜亞科,Chenopodioideae,藜屬,Chenopodium,藜麥,Chenopodium quinoa,藜麥：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 藜科(Chenopodiaceae) > 藜亞科(Chenopodioideae) > 藜屬(Chenopodium) > 藜麥(Chenopodium quinoa)
蕎麥,buckwheat,,,,,,,9/11/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,蓼科,Polygonaceae,蓼亞科,Polygonoideae,蕎麥屬,Fagopyrum,蕎麥,Fagopyrum esculentum,蕎麥：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 蓼科(Polygonaceae) > 蓼亞科(Polygonoideae) > 蕎麥屬(Fagopyrum) > 蕎麥(Fagopyrum esculentum)
苦蕎,,,,,,,,11/24/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,蓼科,Polygonaceae,蓼亞科,Polygonoideae,蕎麥屬,Fagopyrum,苦蕎,Fagopyrum tataricum,苦蕎：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 蓼科(Polygonaceae) > 蓼亞科(Polygonoideae) > 蕎麥屬(Fagopyrum) > 苦蕎(Fagopyrum tataricum)
辣蓼/水蓼,,,,,,,,11/23/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,蓼科,Polygonaceae,蓼亞科,Polygonoideae,春蓼屬,Persicaria,水蓼,Persicaria hydropiper,辣蓼/水蓼：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 蓼科(Polygonaceae) > 蓼亞科(Polygonoideae) > 春蓼屬(Persicaria) > 水蓼(Persicaria hydropiper)
馬齒莧,,,,,,,,8/12/19,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,石竹目,Caryophyllales,馬齒莧科,Portulacaceae,,,馬齒莧屬,Portulaca,馬齒莧,Portulaca oleracea,馬齒莧：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 石竹目(Caryophyllales) > 馬齒莧科(Portulacaceae) > 馬齒莧屬(Portulaca) > 馬齒莧(Portulaca oleracea)
肉桂,,,,,,,,10/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,木蘭類,magnoliids,,,樟目,Laurales,樟科,Lauraceae,,,樟屬,Cinnamomum,肉桂,Cinnamomum aromaticum,肉桂：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 木蘭類(magnoliids) > 樟目(Laurales) > 樟科(Lauraceae) > 樟屬(Cinnamomum) > 肉桂(Cinnamomum aromaticum)
月桂（香葉）,,,,,,,,9/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,木蘭類,magnoliids,,,樟目,Laurales,樟科,Lauraceae,,,月桂屬,Laurus,月桂,Laurus nobilis,月桂（香葉）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 木蘭類(magnoliids) > 樟目(Laurales) > 樟科(Lauraceae) > 月桂屬(Laurus) > 月桂(Laurus nobilis)
木薑子/山胡椒/山蒼,,,,,,,,10/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,木蘭類,magnoliids,,,樟目,Laurales,樟科,Lauraceae,,,木薑子屬,Litsea,木薑子,Litsea cubeba,木薑子/山胡椒/山蒼：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 木蘭類(magnoliids) > 樟目(Laurales) > 樟科(Lauraceae) > 木薑子屬(Litsea) > 木薑子(Litsea cubeba)
鱷梨/牛油果,avocado,,,,,,,9/12/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,木蘭類,magnoliids,,,樟目,Laurales,樟科,Lauraceae,,,鱷梨屬,Persea,鱷梨,Persea americana,鱷梨/牛油果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 木蘭類(magnoliids) > 樟目(Laurales) > 樟科(Lauraceae) > 鱷梨屬(Persea) > 鱷梨(Persea americana)
番荔枝/釋迦,,,,,,,,11/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,木蘭類,magnoliids,,,木蘭目,Magnoliales,番荔枝科,Annonaceae,番荔枝亞科,Annonoideae,番荔枝屬,Annona,番荔枝,Annona squamosa,番荔枝/釋迦：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 木蘭類(magnoliids) > 木蘭目(Magnoliales) > 番荔枝科(Annonaceae) > 番荔枝亞科(Annonoideae) > 番荔枝屬(Annona) > 番荔枝(Annona squamosa)
胡椒,pepper,,,,,,,9/2/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,木蘭類,magnoliids,,,胡椒目,Piperales,胡椒科,Piperaceae,,,胡椒屬,Piper,黑胡椒,Piper nigrum,胡椒：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 木蘭類(magnoliids) > 胡椒目(Piperales) > 胡椒科(Piperaceae) > 胡椒屬(Piper) > 黑胡椒(Piper nigrum)
蕺菜/魚腥草（蕺根）,,,,,,,,10/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,木蘭類,magnoliids,,,胡椒目,Piperales,三白草科,Saururaceae,,,蕺菜屬,Houttuynia,蕺菜,Houttuynia cordata,蕺菜/魚腥草（蕺根）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 木蘭類(magnoliids) > 胡椒目(Piperales) > 三白草科(Saururaceae) > 蕺菜屬(Houttuynia) > 蕺菜(Houttuynia cordata)
辣根（市面常見的青芥辣）,,,,,,,,9/20/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,辣根屬,Armoracia,辣根,Armoracia rusticana,辣根（市面常見的青芥辣）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 辣根屬(Armoracia) > 辣根(Armoracia rusticana)
菜花/花菜/花椰菜,,,,,,,,8/31/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,蕓薹屬,Brassica,花椰菜,Brassica cretica,菜花/花菜/花椰菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 蕓薹屬(Brassica) > 花椰菜(Brassica cretica)
芥菜（榨菜）,,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,蕓薹屬,Brassica,芥菜,Brassica juncea,芥菜（榨菜）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 蕓薹屬(Brassica) > 芥菜(Brassica juncea)
洋白菜/圓白菜/捲心菜/高麗菜,,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,蕓薹屬,Brassica,甘藍,Brassica oleracea,洋白菜/圓白菜/捲心菜/高麗菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 蕓薹屬(Brassica) > 甘藍(Brassica oleracea)
西蘭花,,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,蕓薹屬,Brassica,甘藍,Brassica oleracea,西蘭花：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 蕓薹屬(Brassica) > 甘藍(Brassica oleracea)
大白菜,,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,蕓薹屬,Brassica,蕓薹,Brassica rapa,大白菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 蕓薹屬(Brassica) > 蕓薹(Brassica rapa)
青菜,,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,蕓薹屬,Brassica,蕓薹,Brassica rapa,青菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 蕓薹屬(Brassica) > 蕓薹(Brassica rapa)
薺菜,,,,,,,,9/16/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,薺菜屬,Capsella,薺菜,Capsella bursa-pastoris,薺菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 薺菜屬(Capsella) > 薺菜(Capsella bursa-pastoris)
芝麻菜,,,,,,,,9/20/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,芝麻菜屬,Eruca,芝麻菜,Eruca vesicaria,芝麻菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 芝麻菜屬(Eruca) > 芝麻菜(Eruca vesicaria)
西洋菜/豆瓣菜,,,,,,,,10/20/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,十字花目,Brassicales,十字花科,Brassicaceae,,,豆瓣菜屬,Nasturtium,豆瓣菜,Nasturtium officinale,西洋菜/豆瓣菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 十字花目(Brassicales) > 十字花科(Brassicaceae) > 豆瓣菜屬(Nasturtium) > 豆瓣菜(Nasturtium officinale)
